Comentario,Polaridad,Aspecto
el diseno esta bien elaborado tiene una buena estructura aunque algo confusa al principio se puede mejorar el diseno ,0,diseno
los actores estan bien especificados aunque algo separados en retrospectiva se puede mejorar,0,actores
la sintaxis es adecuada todos los casos de uso estan completos y son entendibles en retrospectiva esta bien elaborado,1,sintaxis
se utilizan los include y los extend de manera correcta pero la herencia puede ser mejorada haciendo que tanto el empleado como herede del cliente algunos metodos para poder hacer el sistema mas eficiente,0,include
la estructura es correcta con actores involucrados y caso de uso relacionado,1,estructura
los actores especificados son reflejados de acuerdo al catalogo de requerimientos y cada uno es necesario para cumplir funcionalidades descritas,1,actores
los nombres de los casos de uso cumplen con la sintaxis adecuada y estan numerados correctamente observaciones la primera es que segun el catalogo de requerimientos unicamente se realizan reservas de automoviles no de furgonetas y la segunda es que cancelar reserva_ automovil no deberia ser un caso que extiende de registrar reserva_automovil puesto que cancelar la ejecucion de la reserva en curso es parte del flujo alterno y cancelar reserva_automovil y consultar reserva deben ser funcionalidades que el cliente puede realizar en cualquier momento y cancelar reserva debe incluir el caso de uso consultar reserva_automovil para encontrar la reserva que el cliente desea dar de baja,0,nombres
se utiliza extend include y herencia de forma correcta y justificada segun el requerimiento,1,extend
todos los casos de uso se invocan de manera correcta los casos de uso estan estructurados de manera correcta los casos de uso no tienen errores de logicas considerables los casos de uso estan enumerados,1,casos
todos los actores en el diagrama de casos de uso son fundamentales para el sistema,1,actores
los nombres de los casos de uso tienen verbo en infinitivo y objeto los nombres de los casos de uso estan enumerados correctamente la mayoria de casos de uso representan de manera correcta la funcionalidades del sistema,1,nombres
no deberia haber herencia entre los actores los include se realizaron de manera correcta no se usaron extends,0,herencia
la estructura esta correcta pero no se identifican bien los casos de uso,0,estructura
todos los actores estan bien definidos y cumplen lo necesario para el sistema,1,actores
los casos de uso cumple con lo requerido con la utilizacion de verbo mas objeto,1,casos
la direccion de la flecha de los includes y extends esta mal ubicada utilizandolos de forma incorrecta la herencia entre casos de uso se encuentra correcta,-1,direccion
la estructura de diagrama si esta bien  esta media confusa con respecto a los caso de uso en algunos no existen relacion alguna,0,estructura
la composicion de los actores del sistema esta correcto todos estan relacionados con los casos de uso,1,composicion
en general la funcionalidad de cada caso esta confuso existen cosas que no se encuentran y estaban especificadas en el caso practico en primer lugar no existen la funcionalidad de autentificar a un cliente lo cual es una error grave por parte del disenador,-1,general
general la comunicacion entre los caso de uso esta bastante confusa y erronea en el caso de uso registrar reserva automovil se debe consultar con un include a consultar reserva automovil no un extend,-1,comunicacion
el diagrama de casos de uso presenta una estructura desordenada lo que hace que la comprension del diagrama sea dificultoso por otra parte aunque presenta los actores y los casos de usos relacionados estos estan presentando una relacion desordenada y poco estructurada,-1,diagrama
los actores presentados en el diagrama de casos de uso son los necesarios para representar el sistema y su implementacion se encuentra correcta,1,actores
como se indico anteriormente al tener una estructura desordenada por lo cual la funcionalidad no esta bien definida ya que en ciertas relaciones entre casos de usos esta mal especificada y ademas no tiene un uso adecuado aparte de esto la sintaxis de los casos de uso estan definidos de forma correcta ya que si se presentan en verbo infinitivo  objeto y si cuenta con todos los casos de usos completos con su correspondiente enumeracion,-1,estructura
en este diagrama la principal falla se encuentra en el uso de los extend ya que estan mal definidos y no estan permitiendo que el proceso fluya ademas en lugares donde el caso de uso invocado por otro y retorne algun dato es donde se emplean includes y en este existen errores de este tipo presentando un mal diseno y estructura,-1,diagrama
el diagrama de caso de uso se observa que hay una mala aplicacion de la relacion entre autores con respecto a la estructura no esta muy entendible,-1,diagrama
en diagrama de caso de uso los autores estan bien especificado se puede observar la funcionalidad que realiza en el sistema,1,diagrama
comenzando con la sintaxis se observa que obtiene una sintaxis correcta a la hora de aplicar el objeto  el verbo lo caso de uso contiene su codigo correspondiente con respecto a la funcionalidad no es muy entendible,1,sintaxis
aplica muy bien los include y los extends en el diagrama de caso de uso pero no le aplica correctamente la herencia al caso de uso,0,include
la estructura del caso de uso esta muy bien definida,1,estructura
cada uno de los actores especificados en el caso de uso son necesarios,1,actores
la sintaxis utilizada para escribir el nombre de los casos de uso es correcta existe numeracion de los casos de usos todos los casos de uso estan completos,1,sintaxis
existe la utilizacion de forma correcta en el include y extend entre casos de usos no existe el uso de herencia en el caso de uso,0,utilizacion
especifica los actores del caso de uso pero las entidades de una parte no se encuentran bien definidas hay islas en unos casos de uso que no llevan a nada,0,actores
si se han utilizado los actores respectivos en el diagrama pero la relacion entre ellos no concuerda,0,actores
hay varios casos de uso que se encuentran en islas no tienen una funcionalidad como tal la mayoria no estan correctamente ubicados,-1,casos
los includes y extend en partes si estan bien pero la otra parte esta mal relacionada no tiene sentido la comunicacion como tal,0,includes
la herencia de actores no se especifica con la respectiva simbologia de flecha,-1,herencia
los actores son correctos,1,actores
existen islas los casos de uso se conectan de forma confusa los casos de uso describen funcionalidades muy especificas,0,islas
algunos casos de uso no deberian ser incluidos por otros si no mas bien especificarse internamente,-1,casos
la relacion entre los casos de uso cu y cu no es correcta,-1,relacion
los actores son correctos y necesarios para el desarrollo del sistema,1,actores
todos los casos de usos tienen su correspondiente numeracion la sintaxis es correcta,1,casos
entre los casos de usos cu y cu la representacion de la relacion no esta bien,-1,casos
la estructura del diagrama es correcta con actores involucrados y caso de uso relacionado,1,estructura
los actores se encuentran bien especificados cada actor esta representado y modelado de acuerdo a la especificacion de los requerimientos y cumplen funcionalidades,1,actores
la sintaxis es adecuada aplicando numeracion ordenada verbos en infinitivo  objeto acerca de las funcionalidades registrar reserva es una operacion que realiza el cliente en el diagrama se encuentra que este es usado por consultar reserva  las reservas que consulta el cliente son las que ya existen  registrar reserva no es un subprograma de consultar reserva consultar el codigo de reserva puede ser definido dentro de consultar reserva gestionar altas y gestionar bajas deberia llamar a una subfuncionalidad que consulte la lista de vehiculos registrar alquiler no es una subfuncionalidad de consultar alquiler,0,sintaxis
se utiliza extend e include de forma correcta y justificada segun el requerimiento,1,extend
la estructura es correcta las comunicaciones entre casos de uso estan sobrepuestas,1,estructura
los actores si estan especificados acorde a los requerimientos del sistema,1,actores
la funcionalidad descrita en el diagrama de casos de uso es correcta la sintaxis que usaron es correcta tiene la numeracion adecuada todos los casos de usos estan completos,1,funcionalidad
no utilizan los include y extends de formas correcta,-1,include
actores involucrados correctos segun los requerimientos actores correctamente relacionados con los casos de usos,1,actores
los actores estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad que representa el diagrama es precisa la sintaxis es adecuada pero no presentan numeracion,0,funcionalidad
presenta include y extend no tiene herencia y la union de los casos de uso registrar contratofurgoneta y registrar contratoautomovil no se especifica si es include o extend,-1,include
se observa con detalle la estructura del diagrama de caso de usos indicando que su diseno si involucra los actores solicitados y su relacion mediante cada caso de uso,1,detalle
si se refleja especificamente los actores necesarios del caso de uso relacionado al sistema que se esta tratando,1,actores
se puede observar que no contiene la numeracion ordenada que se requiere para los casos de uso sin embargo los casos de uso estan completos aplicando los verbos de forma correcta,0,numeracion
si se especifica el uso de los include extend y herencia dentro del caso de uso aunque hay detalles minimos de lo que requiere el sistema,0,uso
la estructura no me parece la correcta ya que no hay relacion entre un actor y otro,-1,estructura
los actores estan todos los que el sistema utilizara,1,actores
su funcionalidad no es correcta hay un proceso completo aislado o llamado tambien isla no tiene numeracion no es ordenada si existe el verbo mas objeto en todos los casos de uso,-1,funcionalidad
un proceso no utiliza ni include ni extends por lo cual la mayoria no esta correcta,-1,proceso
la estructura se encuentra bastante adecuada existen casos de usos aislados o tambien conocidos como islas lo cual no es correcto,0,estructura
los actores involucrados en el diagrama son los necesarios y suficientes para poder resolver la problematica en cuestion estan correctos los actores,1,actores
no existe numeracion para los casos de usos los casos de usos utilizados no resuelven correctamente las especificacion de requerimientos de software los casos de usos no estan completos aun dependen de otra funcionalidad que no se encuentra detallada o implementada la estructura verbo en infinito mas el objeto es correcta,-1,casos
aplican de forma adecuada los extend include y generalizacion sin embargo los casos de usos no estan formulados correctamente por lo que es dificil entender el flujo o secuencia del diagrama,0,forma
especifica que el empleado puede registrar al cliente lo cual no consta en el caso de estudio el diagrama de caso de uso contiene islas,-1,empleado
los actores que se describen en el caso de uso son los necesarios que estan descritos en el caso de estudio,1,actores
los casos de uso no tienen numeracion,-1,casos
el uso de include extend y herencia estan aplicados de forma correcta y cumplen con la funcionalidad del caso de estudio,1,uso
el diagrama de caso de uso consta con un correcto diseno debido a que tiene los actores que manipulan el sistema con sus respectivas funcionalidades,1,diagrama
el diagrama consta con lo  actores cliente empleado y gerente los cuales manipularan el sistema,1,diagrama
el diagrama tiene los casos de usos pero no posee la enumeracion y le falta un caso de uso,0,diagrama
el diagrama aplica los extend include de una manera correcta pero no posee herencia entre los actores,0,diagrama
posee una estructura correcta pero se encuentran islas en el diagrama,0,estructura
aunque los actores estan completos y organizados se encuentra un poco desorganizada,0,actores
la estructura del diagrama no es adecuada hacen falta algunos casos de uso,-1,estructura
el diagrama carece de la especificacion de las herencias hacen falta algunos extend o include en el mejor de los casos ya que no se puede saber que es,-1,diagrama
muchos casos de uso se invocan de manera incorrecta los casos de uso tienen errores de logicas que se desarrollaran en otros criterios,-1,casos
todos los actores que se pueden apreciar son fundamentales para el sistema,1,actores
los nombres de los casos de uso son correctos los nombres de los casos de uso no estan enumerados algunos casos de uso como los del actor empleado no reflejan de manera satisfactoria las funcionalidades expresadas en los requerimientos el empleado no deberia poder activar el caso de uso registrar cliente casi todos resto los casos de uso representan de manera suficiente la funcionalidades,0,nombres
como se menciono en el criterio de diseno hay algunos errores de comunicacion entre los casos de uso un error es la conexion del caso de uso registrar cliente con los casos de uso registrar contratofurgoneta y registrar contratoautomovil los casos de uso registrar contratofurgoneta y registrar contratoautomovil no especifican si usan extends o include no deberia haber herencia entre los actores,-1,criterio
la estructura de los casos es correcta debido a que estan bien relacionados y constan con los  actores lo que no posee es una enumeracion en los casos de uso,0,estructura
los actores plasmados son los adecuados debido a que posee los  actores que son los que van a manipular el sistema como son el cliente el gerente y el empleado,1,actores
la conformacion de la sintaxis esta correcta ya que es verbo mas objeto sin embargo no existe una enumeracion en los casos de uso lo que dificulta el entendimiento del diagrama,0,conformacion
la comunicacion de los casos de uso es la correcta sin embargo no posee herencia entre los actores,0,comunicacion
los actores si se involucran a los casos de uso pero hay ciertas islas,0,actores
los actores estan especificados y son necesarios en el sistema,1,actores
no aplica numeracion pero si tiene verbo e infinito  objeto,0,numeracion
si utiliza extend e include herencia no aplica,0,extend
en la estructura del diagrama no esta bien  existen caso de uso que no tiene un flujo a donde desea ir los actores involucrados se encuentran bien definidos,-1,estructura
los actores involucrados en el sistema se encuentran bien definidos,1,actores
la sintaxis de los nombres de los caso de usos estan bien definidos pero hay errores graves en la funcionalidad de cada uno la funcionalidad de cancelar reserva hay un error muy grave no existe un include a consultar reversar  lo mismo pasa con los demas casos de uso que se refiere al cliente las conexiones entre el empleado y cliente no debe existir,-1,sintaxis
el flujo de los include estan mal principalmente en el empleado existen lineas las cuales no hay mensajes,-1,flujo
el diseno de caso de uso cumple con lo estipulado en los requerimientos,1,diseno
los tres actores que interactuan con el sistema son los adecuados,1,actores
los casos de usos estan correctamente enumerados en secuencia logica cumplen con la estructura verbo  objeto,1,casos
los include y extend estan direccionados correctamente,1,include
la estructura presentada es adecuada la relacion entre los actores y los casos de uso es bastante adecuada,1,estructura
los actores descritos en el diagrama de casos de uso son los adecuados y necesarios para el sistema,1,actores
la funcionalidad descrita no es nada adecuada generaliza muchos casos de uso algunos casos de uso no estan completos la sintaxis utilizada es adecuada faltan casos de uso que especifiquen mejor la funcionalidad,-1,funcionalidad
la comunicacion entre actores y casos de uso es adecuada la herencia aplicada es correcta el uso del extend e include son bastante adecuados,1,comunicacion
la estructura del diagrama no tiene errores a cada actor le corresponden los casos de uso pertinentes segun lo que se detallo en los requerimientos,1,estructura
el diagrama cuenta con todos los actores necesarios y que son posibles de identificar en los requerimientos del sistema todos los actores se encuentran bien definidos y etiquetados,1,diagrama
la funcionalidad descrita se cumple casi en su totalidad la sintaxis en todos los casos de uso es correcta faltan algunos casos de uso como por ejemplo generar reportes,0,funcionalidad
los include extends y herencia se emplean de manera correcta en todos los casos de uso,1,include
la estructura esta bien elaborada debido a que contiene los actores con los casos de usos relacionados sin embargo le falta llevar un orden para que sea mas facil la comprension del caso de uso,0,estructura
el diagrama pose los  actores que van a manipular el sistema,1,diagrama
la funcionalidad del diagrama esta bien definida con la numeracion y los nombre de los casos de uso sin embargo hay funcionalidades que no estan bien,0,funcionalidad
el diagrama pose herencia  include y extend sin embargo el extend no esta correcto debido a las direccion de las flechas,0,diagrama
la estructura es correcta tienen los actores involucrados y los casos de uso estructurados,1,estructura
los actores y sus posiciones son correctas pero existen herencias inadecuadas dentro del sistema,0,actores
los casos de usos estan en correcto orden su estructura es correcta contiene verbo  infinitivo pero los casos de usos asignados a los usuarios sus diferentes a los solicitados por el sistema,0,casos
se colocaron include extend y herencias en sitios sumamente incorrectos la herencia entre actores no esta bien aplicada y los extend no tienen sentido alguno,-1,include
la estructura es correcta involucra los actores relacionados con el caso de uso,1,estructura
los actores en el diagrama estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad medianamente correcta la sintaxis es adecuada aplicando la numeracion ordenada los casos de uso estan completos,1,funcionalidad
utilizan los extend e include no tan correctos la herencia la aplican correctamente,0,extend
tiene la estructura adecuada bien relacionados y cada actor esta bien involucrado,1,estructura
estan todos relacionados y estan los  que se entienden en las especificaciones,1,especificaciones
estan de forma ordenadas cada cu enumerado de secuencia correcta y cumple con los verbos en infinitivos,1,forma
los include y extends estan bien ubicados y direccionados,1,include
la estructura tiene todos los elementos,1,estructura
me parece correcto tiene los actores necesarios,1,actores
numeracion de casos de uso desordenados la funcionalidad del paciente no esta bien,-1,numeracion
la herencia es incorrecta,-1,herencia
la relacion entre los actores y las funcionalidades del sistema si estan correctas cada actor cumple unicamente con el rol que esta especificado en los requerimientos del sistema no obstante existen algunos casos de uso que a criterio personal no estan del todo correctos y faltarian unos casos de uso para completar con todas las funcionalidades que el sistema requiere,0,relacion
los actores que estan especificados en el diagrama de casos de uso son los adecuados para cumplir con todos los requerimientos establecidos,1,actores
los casos de uso establecidos en el diagrama de casos de uso estan correctos cada uno cumple con lo que el sistema necesita tener implementado pero faltan quizas uno que otro caso de uso como es el caso de registrar paciente ya que no hay ningun caso de uso que haga dicho procedimiento,0,casos
la herencia entre administrativo y paciente esta incorrecta ya que como esta especificado en el diagrama de casos de uso indica que el administrativo hereda las funcionalidades del paciente y en realidad deberia ser lo contrario ya que quien tiene la funcionalidad de solicitar cita es el administrativo y no el paciente la relacion de extend entre los casos de uso asignar especialista y registrar historial no es correcta de la misma forma la relacion que hay entre los casos de uso consultar cita y registrar historial,-1,herencia
la estructura es correcta cumple con todo lo requerido,1,estructura
los actores estan bien definidos y son necesarios para el sistema,1,actores
algunas funcionalidades descritas no son correctas,-1,funcionalidades
la utilizacion de extends esta de forma correcta la utilizacion de los include estan de forma correcta la utilizacion de la herencia en algunos casos no es la correcta,0,extends
en el diagrama estan  actores pero no todos tienen casos de usos,0,diagrama
los actores estan bien especificados y si son necesarios en el sistema,1,actores
faltan algunos casos de usos como registrar paciente registrar diagnostico consultar diagnostico,-1,casos
la herencia no esta bien realizada ya que el administrativo hereda lo que hace el paciente pero este no tiene ningun caso de uso y lo que esta haciendo el administrativo deberia hacerlo el paciente tambien el caso de uso realizar operacion tiene q tener un include hacia consultar paciente,-1,herencia
los actores involucrados y los casos de usos estan bien estructurados,1,actores
todos los actores colocados son necesitados en el sistema y estan correctos,1,actores
faltan varios casos de usos en el sistema como registrar diagnostico consultar diagnostico entre otros el caso de uso cu no se entiende el objeto o esta mal hecho,-1,casos
esta mal hecha la herencia y no se entiende el proceso de la comunicacion entre los casos de usos y algunos actores tampoco existe una relacion del caso de uso cu con el cu ya que ambos estan ligados en una operacion,-1,mal
todos los actores y caso de uso estan correctamente relacionados,1,actores
los actores estan correctamente plasmados y son necesarios en el sistema,1,actores
la funcionalidad descrita no esta del todo correcta ya que para poder registrar historial debera de que paciente lo esta haciendo faltan casos de uso como para asignar el tratamiento y para realizar el diagnostico entre otros,0,funcionalidad
el paciente no hereda del administrativo solo el especialista del medico que si lo muestra correctamente,-1,paciente
le falta la relacion del actor paciente con el caso de uso solicitar cita,-1,relacion
todos los actores involucrados en el diagrama son necesarios para el funcionamiento del sistema,1,actores
falta algunos caos de usos por ejemplo uno donde se involucre el tratamiento asignado al paciente,-1,caos
la fecha de herencia de medico a especialista esta mal ademas no deberia existir herencia entre administrativo con el paciente,-1,fecha
si comprende el diseno con los actores y relacionado los casos de usos,1,diseno
se encuentran todos los actores que intervienen en el sistema,1,actores
algunos casos de uso no tienen el funcionamientos correcto como el caso de uso realizar operacion el cu no tiene el objeto correcto y faltan algunos casos de usos,-1,casos
no existe la comunicacion correcta y tambien esta mal realizada la herencia,-1,comunicacion
la estructura es correcta en su mayoria con actores involucrados y caso de uso relacionado,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad descrita es parcialmente correcta en su mayoria,0,funcionalidad
no se utiliza el extend y el include de forma correcta existe una herencia entre paciente y administrativo que no deberia ir,-1,extend
existen todos los actores y casos de uso requeridos,1,actores
los actores estan bien especificados y son requeridos por el sistema,1,actores
algunos casos de uso tienen nombres muy parecidos como para diferenciarse,0,casos
buen uso de include extend y herencia,1,uso
la estructura es bastante adecuada a lo requerido,1,estructura
los actores son totalmente necesarios en el sistema,1,actores
la sintaxis no es correcta en dos casos de uso por la entidad medico que no es adecuada,-1,sintaxis
se aplica include y extend de manera totalmente adecuada en el diagrama,1,include
la estructura no tiene errores,1,estructura
los actores estan bien especificados y cumplen con las necesidades del sistema,1,actores
la funcionalidad le falta estructurarse bien faltan casos de usos pero cumplen con la estructura adecuada y la sintaxis es correcta,0,funcionalidad
el uso del extend y el include es correcto pero la herencia aplicada no es correcta,0,uso
la estructura no tiene errores,1,estructura
los actores son correctos,1,actores
la sintaxis no es correcta en dos casos de uso,-1,sintaxis
la aplicacion de extend include y herencia son correctas,1,aplicacion
presenta una estructura correcta sin embargo se puede apreciar casos de uso aislados que no deberian estar asi,0,estructura
cuenta con la cantidad de actores necesarios no obstante sus nombres no especifican del todo bien al actor,0,cantidad
la funcionalidad cuenta con todo lo mencionado en los requerimientos pero su funcionamiento en general no plasma lo que se menciona en los requerimientos la sintaxis presentada cumple con lo establecido todos los casos de uso estan presentes,0,funcionalidad
el extend include y herencia en la mayoria de los casos de uso esta de forma correcta pero la manera de emplearlas no se justifica a lo presentado en los requerimientos,0,extend
la estructura es correcta cumple con todo lo necesario ya que los actores y casos de usos bien relacionados,1,estructura
los actores representados en el diagrama estan bien especificados y son diferenciables cada uno de los actores es necesario y requerido por el ejercicio,1,actores
la funcionalidad que se describe no es correcta ya que se puede denotar casos de usos con tendencia de isla como es pasa en el caso de uso cu registrar datos otros casos de uso no estan bien definidos debido a que su funcionamiento no esta bien planteada en el diagrama la sintaxis es adecuada ya que sigue una numeracion ordenada entre los casos de uso usa verbos en infinitivo al cual se le asocia un objeto,-1,funcionalidad
el uso de la herencia esta bien planteado y ejecutado por otro lado los estereotipos extend no son del todo correcto su uso los includes son correctos,0,uso
la estructura es correcta pero los casos de uso relacionados no son correctos del todo,0,estructura
los actores identificados son los correctos,1,actores
la funcionalidad deja mucho que desear la sintaxis es correcta,-1,funcionalidad
se utiliza extends e include de manera no apropiada,-1,extends
la estructura fue realizada de manera correcta ya que se hizo buen uso de los actores y casos de uso,1,estructura
los actores son correctos aunque uno cuenta con un nombre poco representativo como en los requerimientos,0,actores
la funcionalidad no es la correcta porque no representa a los requerimientos como debe la sintaxis esta adecuada con todos los casos de uso,-1,funcionalidad
el extend include y herencia estan utilizados de manera correcta pero segun los requerimientos no permitirian hacer los procesos del sistema de manera correcta,0,extend
los actores conectan de forma correcta con los casos de uso pero existe una isla en los casos de uso realizados por el paciente,0,actores
los actores estan bien especificados y son necesarios en el sistema para cumplir con los requisitos del sistema,1,actores
la funcionalidad que describen los casos de uso es la correcta segun los requerimientos la numeracion de los casos de uso no es correcta porque hay casos de uso que invocan a un caso de uso que tienen un numero superior el nombre de los casos de uso es correcto,0,funcionalidad
el uso del extend e include es correcto segun los requerimientos,1,uso
la estructura esta correcta,1,estructura
el diagrama posee todos los actores requeridos por el sistema,1,diagrama
la funcionalidad es correcta la sintaxis es adecuada pero cambia el nombre de un mismo objeto en dos casos de uso,0,funcionalidad
uso innecesario de include existen casos de uso que no estan refiriendo a ningun actor,-1,uso
todos los actores estan relacionados con algun caso de uso y las conexiones son correctas,1,actores
todos los actores son necesarios en el sistema segun lo indica la problematica planteada,1,actores
la funcionalidad descrita es la adecuada la sintaxis usada es correcta todos los casos de uso estan completos la numeracion en orden de prioridad no es la correcta,0,funcionalidad
existe un error el cual no utiliza la herencia que desde especialista hacia medico cabecera,-1,error
los actores conectan de forma correcta con los casos de uso,1,actores
cuenta con los actores que son necesarios en el sistema,1,actores
cuenta con una sintaxis adecuada pero no cuenta con la numeracion lo cual hace imposible saber si estan adecuados o no tiene los casos de uso completos,0,sintaxis
los includes y extend estan aplicados de manera correcta,1,includes
la estructura no esta bien relacionada por ejemplo se esta dejando en unas islas o aparte los casos de usos del paciente los actores medico cabecera y especialista nos estan relacionados,-1,estructura
los actores involucrados si son necesarios para el funcionamiento del sistema,1,actores
no tiene de manera ordena los casos de usos,-1,manera
no se tiene herencia entre los actores medico cabecera y especialista no se aplica correctamente el la comunicacion entre el cu y cu los casos de usos del actor paciente no estan integrados al sistema,-1,herencia
la estructura es correcta con actores involucrados y caso de uso relacionado,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad es la correcta todos los casos de uso estan completos,1,funcionalidad
no se aplica herencia entre los actores medico cabecera y especialista no hay una correcta comunicacion entre el caso registrar cita y los casos consultar cita asignar cita los casos de uso del actor paciente no estan integrados al sistema,-1,herencia
la estructura hecha esta correcta mostrando los actores y los casos de uso necesarios,1,estructura
se logra visualizar todos los actores necesarios para el sistema,1,actores
cada caso de uso describe su funcionalidad correctamente,1,caso
existen comunicaciones que pueden confundir dentro del diagrama,-1,comunicaciones
la estructura tiene carencia de logica,-1,estructura
tiene todos los actores del caso planteado,1,actores
la mayoria de los casos de uso son incorrectos,-1,mayoria
se utiliza de manera no correcta el uso de extend include y herencia,-1,manera
la estructura es poco adecuada para la relacion entre actores y casos de uso,-1,estructura
los actores estan especificados en el sistema y son necesarios para su desarrollo,1,actores
la funcionalidad no es correcta en algunos casos de uso los casos de uso no tienen numeracion y no estan completos,-1,funcionalidad
el extend en un caso de uso no es correcto,-1,extend
no existen errores de estructura,1,errores
los actores estan bien especificados,1,actores
la funcionalidad descrita no es correcta la sintaxis no esta bien especificada y faltan casos de uso,-1,funcionalidad
la forma en que se usa el extend include y herencia no es de forma correcta y no justifica totalmente las funcionalidades,-1,forma
la estructura es correcta se muestran todos los actores involucrados,1,estructura
los actores son los necesarios en el sistema,1,actores
los casos de usos no se encuentran numerados la funcionalidad descrita no es del todo correcta existen casos de uso que no los esta realizando ningun actor,-1,casos
el uso de include no es justificado en algunos casos,-1,uso
la estructura es incorrecta e ineficiente los actores y los casos de uso estan mal relacionados,-1,estructura
los actores estan especificados e involucrados correctamente,1,actores
la sintaxis es inadecuada los casos de uso no estan enumerados faltan casos de uso segun las especificaciones,-1,sintaxis
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,include
la estructura no es del todo adecuada,-1,estructura
hay actores que no son necesarios en el sistema,-1,actores
la funcionalidad descrita es la correcta no hay numeracion en los casos de usos faltan casos de usos,0,funcionalidad
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,include
la estructura es parcialmente correcta,0,estructura
se encuentran todos los actores necesario,1,actores
los casos de uso no se comprenden,-1,casos
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,include
usa de forma correcta los actores y los casos de uso evitando que exista algun error en el diagrama,1,forma
todos los actores son necesarios en el diagrama y estan plasmados de forma correcta,1,actores
la funcionalidad descrita es poco adecuada el medico general no podra ver el historial sino existe primero un registro del historial de los pacientes consultando a los pacientes existentes el paciente solo podra solicitar cita no puede mostrar tratamiento validar usuario ni mostrar cita para que el medico general pueda asignar un tratamiento debe de realizar diagnostico y consultar paciente lo cual no esta implementado y hace que falten muchos casos de uso no cuenta con la numeracion de los casos de uso y dificulta su visibilidad en la prioridad de ejecucion,-1,funcionalidad
utiliza la herencia de forma incorrecta donde esta no va de paciente a personal administrativo sino de medico especialista a medico general el extend lo aplica mal donde deberia estar dentro de un caso de uso que vaya a realizar operacion que lo realiza el medico especialista,-1,herencia
la estructura es la correcta con actores involucrados y caso de uso relacionados,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad descrita es correcta en su mayoria los casos de uso no cuentan con numeraciones no todos los casos de uso estan completos,0,funcionalidad
se utiliza extend include y herencia de forma correcta en su mayoria y justificada segun el requerimiento el actor paciente esta heredando las acciones de el actor personal administrativo,1,extend
la estructura no tiene errores,1,estructura
se encuentran todos los actores que participan en el programa,1,actores
algunos casos de uso no tienen funcionalidad correcta,-1,casos
modificar historial no tiene conexiones directa con el actor por tanto la comunicacion es incorrecta,-1,conexiones
esta estructurado correctamente una parte del diagrama con los actores y sus casos de uso,1,parte
se encuentran todos los actores requeridos por el sistema,1,actores
algunos casos de uso transmiten correctamente su funcionalidad no se encuentran enumerados los casos de uso los casos de uso no estan completos,-1,casos
mal uso en una parte de includes dentro del diagrama una mala practica de herencia,-1,uso
existe la presciencia de casos de usos que no deberian estar,-1,presciencia
los actores estan debidamente establecidos,1,actores
cumple con los requisitos pero hay casos de uso que no deberian estar,0,requisitos
existe buena comunicacion entre todos lo casos de uso y aplica de manera correcta el include extend y herencia,1,comunicacion
la estructura del diagrama de casos de uso es correcta,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,actores
la funcionalidad descrita en los casos de uso es correcta segun el caso de estudio los casos de uso estan escritos con un verbo en infinitivo y un objeto pero su numeracion no esta ordenada,0,funcionalidad
el extend y la herencia estan utilizados de forma correcta pero hay algunos include que invocan casos de uso que no corresponden como es el caso de cu asignar especialista que invoca a cu solicitar cita,0,extend
no existe concordancia entre los casos de uso debido a que su estructura no es la correcta,-1,concordancia
los actores estan bien definidos lo cual son necesarios en el sistema debido a que todos ellos intervienen en el proceso,1,actores
existen casos de usos que no estan bien definidos debido a que algunos no cumplen con la funcionalidad del sistema por otro lado la sintaxis se encuentra correcta,-1,casos
referente a la herencia entre paciente y administrador no esta bien realizada debido a que un paciente hereda lo de administrador pero un paciente no puede registrar paciente,-1,referente
tienen relacion entre caso de usos y actores la comunicacion es correcta,1,relacion
los actores estan completos y son necesarios en el sistema,1,actores
si tienen numeracion en los casos de usos los casos de usos si estan bien formados con verbos y objetos pero hay casos de usos que estan de mas tambien el caso de uso registrar paciente lo hace el paciente cuando deberia hacerlo el administrativo falta el caso de uso consultar historial,0,numeracion
la herencia los includes y extends estan de forma correcta,1,herencia
todo esta muy bien de acuerdo a los requisitos colocados tanto en el diseno como la informacion puesta,1,acuerdo
todos los actores necesarios en el sistema estan colocados,1,actores
la sintaxis de los casos de uso esta muy bien y su estructura igual y por ende su funcionalidad esta correcta,1,sintaxis
si se utiliza de manera correcta todos los puntos como la herencia el include y los extend,1,manera
la estructura entre actores y casos de uso es correcta,1,estructura
cuenta con los actores necesarios para dicho sistema,1,actores
la sintaxis es correcta por parte de la numeracion en los caso de uso tambien correcta cuenta con algunos caso de uso que no se solicitan en el ejercicio como registrar medico y que el paciente no deberia registrarse a el mismo,0,sintaxis
